Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,63000.0,63000.0,Medium,0.0,undergraduate,Banking,Officer
Government,25000.0,25000.0,Low,0.0,undergraduate,Government General,Associate
Government,30000.0,60000.0,Medium,30000.0,undergraduate,PSU,Other
Government,57700.0,182400.0,Medium,124700.0,postgraduate,Government Admin,Academic
Government,25000.0,25000.0,Low,0.0,undergraduate,PSU,Engineer
Government,25000.0,25000.0,Low,0.0,undergraduate,PSU,Engineer
Government,50000.0,160000.0,Medium,110000.0,undergraduate,PSU,Managerial
Government,36000.0,36000.0,Medium,0.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Government General,Entry Level
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Engineer
Government,40000.0,160000.0,Medium,120000.0,postgraduate,Government General,Managerial
Government,,,,,undergraduate,PSU,Other
Government,10560.0,17500.0,Low,6940.0,diploma,Government General,Entry Level
Government,25500.0,25500.0,Low,0.0,undergraduate,Government General,Other
Government,36000.0,36000.0,Medium,0.0,undergraduate,Government General,Other
Government,70000.0,220000.0,High,150000.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Banking,Managerial
Government,200000.0,300000.0,Very High,100000.0,undergraduate,Government General,Managerial
Government,9300.0,34800.0,Low,25500.0,undergraduate,Government Admin,Officer
Government,29200.0,29200.0,Low,0.0,undergraduate,Judiciary,Other
Government,42000.0,42000.0,Medium,0.0,postgraduate,Education,Associate
Government,,,,,undergraduate,Government General,Other
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Managerial
Government,56100.0,208700.0,Medium,152600.0,doctorate,Government General,Engineer
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Research
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Managerial
Government,45000.0,45000.0,Medium,0.0,undergraduate,Government Admin,Other
Government,67700.0,208700.0,Medium,141000.0,postgraduate,Education,Officer
Government,,,,,undergraduate,PSU,Other
Government,70000.0,70000.0,High,0.0,postgraduate,Government Admin,Other
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Engineer
Government,35400.0,112400.0,Medium,77000.0,undergraduate,Education,Assistant
Government,,,,,undergraduate,Banking,Entry Level
Government,20000.0,60000.0,Low,40000.0,undergraduate,Education,Officer
Government,50000.0,50000.0,Medium,0.0,undergraduate,PSU,Other
Government,32000.0,127000.0,Medium,95000.0,undergraduate,Government General,Academic
Government,,,,,undergraduate,Banking,Assistant
Government,64820.0,105280.0,Medium,40460.0,undergraduate,Banking,Managerial
Government,55930.0,55930.0,Medium,0.0,undergraduate,Government General,Assistant
Government,47600.0,151100.0,Medium,103500.0,postgraduate,Government Admin,Academic
Government,,,,,undergraduate,Government General,Other
Government,34800.0,34800.0,Medium,0.0,undergraduate,Government Admin,Engineer
Government,,,,,undergraduate,Government Admin,Other
Government,85920.0,105280.0,High,19360.0,undergraduate,Banking,Officer
Government,,,,,undergraduate,Government Admin,Other
Government,28700.0,91300.0,Low,62600.0,undergraduate,Government General,Assistant
Government,,,,,undergraduate,Government Admin,Other
Government,156500.0,173860.0,Very High,17360.0,postgraduate,Banking,Managerial
Government,28740.0,72110.0,Low,43370.0,postgraduate,Government General,Other
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government Admin,Assistant
Government,177500.0,177500.0,Very High,0.0,postgraduate,Education,Officer
Government,35400.0,112400.0,Medium,77000.0,postgraduate,Government General,Research
Government,,,,,undergraduate,Government General,Assistant
Government,30000.0,40000.0,Medium,10000.0,undergraduate,Education,Officer
Government,56100.0,177500.0,Medium,121400.0,undergraduate,PSU,Officer
Government,25500.0,78800.0,Low,53300.0,undergraduate,Education,Engineer
Government,40000.0,40000.0,Medium,0.0,undergraduate,Government General,Other
Government,100000.0,100000.0,High,0.0,undergraduate,Government General,Managerial
Government,8500.0,8500.0,Low,0.0,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government General,Other
Government,,,,,postgraduate,Banking,Engineer
Government,56100.0,208700.0,Medium,152600.0,undergraduate,Education,Officer
Government,15000.0,15000.0,Low,0.0,undergraduate,Education,Assistant
Government,,,,,doctorate,Education,Academic
Government,,,,,undergraduate,Banking,Other
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,other,Government General,Engineer
Government,35400.0,112400.0,Medium,77000.0,undergraduate,Government General,Assistant
Government,32600.0,32600.0,Medium,0.0,undergraduate,Government General,Other
Government,57700.0,182400.0,Medium,124700.0,postgraduate,Education,Academic
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government Admin,Other
Government,142400.0,142400.0,High,0.0,undergraduate,Education,Officer
Government,30000.0,40000.0,Medium,10000.0,postgraduate,Banking,Other
Government,,,,,undergraduate,Government General,Other
Government,19900.0,142400.0,Low,122500.0,undergraduate,Education,Associate
Government,65000.0,65000.0,Medium,0.0,postgraduate,Government General,Other
Government,,,,,undergraduate,Government General,Managerial
Government,85920.0,105280.0,High,19360.0,undergraduate,Banking,Officer
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government General,Other
Government,21000.0,70000.0,Low,49000.0,undergraduate,Government General,Assistant
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Banking,Entry Level
Government,65000.0,65000.0,Medium,0.0,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Government General,Assistant
Government,97452.0,97452.0,High,0.0,postgraduate,Education,Officer
Government,,,,,undergraduate,Government General,Other
Government,,,,,postgraduate,Banking,Managerial
Government,70000.0,200000.0,High,130000.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government General,Managerial
Government,,,,,postgraduate,Government Admin,Assistant
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Managerial
Government,70000.0,260000.0,High,190000.0,undergraduate,Government General,Managerial
Government,,,,,postgraduate,Education,Managerial
Government,,,,,undergraduate,Government General,Engineer
Government,50000.0,50000.0,Medium,0.0,postgraduate,Education,Assistant
Government,19900.0,44900.0,Low,25000.0,undergraduate,Government Admin,Other
Government,35000.0,35000.0,Medium,0.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Banking,Other
Government,,,,,undergraduate,Government Admin,Other
Government,28000.0,28000.0,Low,0.0,undergraduate,Education,Engineer
Government,35400.0,209200.0,Medium,173800.0,postgraduate,Education,Research
Government,35400.0,208700.0,Medium,173300.0,undergraduate,Government General,Other
Government,40000.0,40000.0,Medium,0.0,undergraduate,Banking,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Technical/Research,Assistant
Government,156500.0,210800.0,Very High,54300.0,undergraduate,Energy,Managerial
Government,17500.0,17500.0,Low,0.0,undergraduate,Government General,Entry Level
Government,1500.0,1500.0,Low,0.0,postgraduate,Education,Other
Government,80000.0,80000.0,High,0.0,postgraduate,Government General,Other
Government,30000.0,120000.0,Medium,90000.0,undergraduate,Energy,Other
